datum,region,election_type,id,institut,medium,auftraggeber,methode,befragt,schwankung,grundgesamtheit,befragung_von,befragung_bis,fiktive_variante,anmerkungen,quelle,ÖVP,SPÖ,FPÖ,NEOS,GRÜNE,SONSTIGE,KPÖ
2025-12-22,Österreich,Nationalrat,2025062,Market,Der Standard,Der Standard,Online; Persönlich,800,,,2025-12-16,2025-12-18,,,https://www.derstandard.at/story/3000000301545/umfragedesaster-fuer-kanzler-stocker-und-die-oevp,19,18.0,37.0,10,11,2.0,3
2025-12-19,Österreich,Nationalrat,2025061,Lazarsfeld Gesellschaft,oe24,oe24,Online,2000,,,2025-12-15,2005-12-16,,1000er Sample; geglättet mit Vorwoche,https://www.oe24.at/oesterreich/politik/parteien/neuer-umfrage-rekord-fuer-kickl-bei-kanzlerfrage/661596931,18,18.0,38.0,9,11,3.0,3
2025-12-13,Österreich,Nationalrat,2025060,Lazarsfeld Gesellschaft,oe24,oe24,Online,2000,2.2,,2025-12-08,2025-12-09,,1000er Sample; geglättet mit Vorwoche,https://www.oe24.at/oesterreich/politik/parteien/umfrage-schock-fuer-kanzler-stocker-und-seine-oevp/660391713,18,18.0,38.0,9,11,3.0,3
2025-12-04,Österreich,Nationalrat,2025059,Lazarsfeld Gesellschaft,oe24,oe24,Online,2000,,,2025-12-01,2025-12-02,,1000er Sample; geglättet mit Vorwoche,https://www.oe24.at/oesterreich/politik/parteien/auch-das-noch-babler-von-meinl-in-der-kanzlerfrage-ueberholt/659290131,19,18.0,38.0,10,10,3.0,2
2025-11-30,Österreich,Nationalrat,2025058,OGM,Kurier,Kurier,Online,1014,3.1,,2025-11-24,2025-11-27,,,https://kurier.at/politik/inland/koalition-umfrage-kurier-kickl-fpoe-oevp-neos-spoe-gruene/403107740,20,17.0,36.0,9,12,2.0,4
2025-11-28,Österreich,Nationalrat,2025057,Lazarsfeld Gesellschaft,oe24,oe24,Online,2000,2.2,,2025-11-24,2025-11-25,,1000er Sample; geglättet mit Vorwoche,https://www.oe24.at/oesterreich/politik/parteien/umfrage-fpoe-knapp-unter-der-40-marke-wie-festgenagelt/658081561,19,18.0,38.0,10,10,3.0,2
2025-11-26,Österreich,Nationalrat,2025056,Market,Der Standard,Der Standard,Online; Persönlich,818,,,2025-11-17,2025-11-20,,,https://www.derstandard.at/story/3000000297272/etwa-jeder-zweite-will-ein-anderes-politisches-system,19,19.0,37.0,10,11,1.0,3
2025-11-21,Österreich,Nationalrat,2025055,Lazarsfeld Gesellschaft,oe24,oe24,Online,2000,,,2025-11-17,2025-11-18,,1000er Sample; geglättet mit Vorwoche,https://www.oe24.at/oesterreich/politik/umfrage-beben-jetzt-stuerzt-auch-oevp-auf-unter-20-ab/656856664,19,18.0,38.0,9,11,3.0,2
2025-11-14,Österreich,Nationalrat,2025054,Lazarsfeld Gesellschaft,oe24,oe24,Online,2000,,,2025-11-10,2025-11-11,,1000er Sample; gelättet mit Vorwoche,https://www.oe24.at/oesterreich/politik/parteien/umfrage-stocker-stuerzt-in-der-kanzlerfrage-ab/656049007,20,18.0,37.0,8,11,3.0,3
2025-11-07,Österreich,Nationalrat,2025053,Lazarsfeld Gesellschaft,oe24,oe24,Online,2000,2.2,,2025-11-03,2025-11-04,,1000er Sample; geglättet mit Vorwoche,https://www.oe24.at/oesterreich/politik/parteien/umfrage-daempfer-fuer-kickl-co-fpoe-bleibt-aber-klare-nr-1/655249765,20,18.0,37.0,8,10,4.0,3
