Monat,Name,Partei,Geschlecht,Funktion,Saldo,Veränderung,Parlaments_ID,Anmerkung
2026-01-01,Alexander Van der Bellen,parteilos,Mann,Bundespräsident,18,-1,PAD_02856,
2026-01-01,Doris Bures,SPÖ,Frau,3. Nationalratspräsidentin ,16,-2,PAD_00145,
2026-01-01,Markus Marterbauer,SPÖ,Mann,Bundesminister für Finanzen,8,4,PAD_32506,
2026-01-01,Eva Maria Holzleitner,SPÖ,Frau,"Bundesministerin für Frauen, Wissenschaft und Forschung",2,1,PAD_02309,
2026-01-01,Christian Stocker,ÖVP,Mann,Bundeskanzler,-1,-1,PAD_05439,
2026-01-01,Ulrike Königsberger-Ludwig,SPÖ,Frau,"Staatssekretärin im Bundesministerium für Arbeit, Soziales, Gesundheit, Pflege und Konsumentenschutz",-2,-4,PAD_14841,
2026-01-01,Anna Sporrer,SPÖ,Frau,Bundesministerin für Justiz,-3,-6,PAD_32507,
2026-01-01,Elisabeth Zehetner,ÖVP,Frau,"Staatssekretärin im Bundesministerium für Wirtschaft, Energie und Tourismus",-3,2,PAD_32510,
2026-01-01,Claudia Bauer (vormals Plakolm),ÖVP,Frau,"Bundesministerin für Europa, Integration und Familie im Bundeskanzleramt",-4,4,PAD_02295,
2026-01-01,Korinna Schumann,SPÖ,Frau,"Bundesministerin für Arbeit, Soziales, Gesundheit, Pflege und Konsumentenschutz",-5,-6,PAD_03677,
2026-01-01,Peter Hanke,SPÖ,Mann,"Bundesminister für Innovation, Mobilität und Infrastruktur",-5,-3,PAD_32508,
2026-01-01,Peter Haubner,ÖVP,Mann,2. Nationalratspräsident,-5,-2,PAD_12741,
2026-01-01,Michaela Schmidt,SPÖ,Frau,"Staatssekretärin im Bundesministerium für Wohnen, Kunst, Kultur, Medien und Sport",-5,-4,PAD_25188,
2026-01-01,Barbara Eibinger-Miedl,ÖVP,Frau,Staatssekretärin im Bundesministerium für Finanzen,-7,-4,PAD_35547,
2026-01-01,Christoph Wiederkehr,NEOS,Mann,"Bundesminister für Bildung, Wissenschaft und Forschung",-8,-5,PAD_32505,
2026-01-01,Yannick Shetty,NEOS,Mann,Abgeordneter zum Nationalrat,-8,-4,PAD_05687,
2026-01-01,Philip Kucher,SPÖ,Mann,Klubobmann,-8,-2,PAD_83113,
2026-01-01,Klaudia Tanner,ÖVP,Frau,Bundesministerin für Landesverteidigung,-9,-1,PAD_06485,
2026-01-01,Gerhard Karner,ÖVP,Mann,Bundesminister für Inneres,-11,-3,PAD_20445,
2026-01-01,Wolfgang Hattmannsdorfer,ÖVP,Mann,"Bundesminister für Wirtschaft, Energie und Tourismus",-12,-5,PAD_30720,
2026-01-01,Beate Meinl-Reisinger,NEOS,Frau,Bundesministerin für europäische und internationale Angelegenheiten,-13,-7,PAD_83122,
2026-01-01,Jörg Leichtfried,SPÖ,Mann,Staatssekretär im Bundesministerium für Inneres,-15,-5,PAD_22694,
2026-01-01,Alexander Pröll,ÖVP,Mann,Staatssekretär im Bundeskanzleramt,-15,-6,PAD_32509,
2026-01-01,Norbert Totschnig,ÖVP,Mann,"Bundesminister für Land- und Forstwirtschaft, Klima- und Umweltschutz, Regionen und Wasserwirtschaft",-19,-7,PAD_10778,
2026-01-01,Leonore Gewessler,Grüne,Frau,"Bundesministerin für Klimaschutz, Umwelt, Energie, Mobilität, Innovation und Technologie",-23,1,PAD_05653,
2026-01-01,Walter Rosenkranz,FPÖ,Mann,Nationalratspräsident,-27,0,PAD_51570,
2026-01-01,Andreas Babler,SPÖ,Mann,Vizekanzler,-31,-8,PAD_23963,
2026-01-01,Josef Schellhorn,NEOS,Mann,Staatssekretär im Bundesministerium für europäische und internationale Angelegenheiten,-35,-15,PAD_84056,
2026-01-01,Herbert Kickl,FPÖ,Mann,Klubobmann,-36,2,PAD_35520,
2026-01-01,August Wöginger,ÖVP,Mann,Klubobmann,-47,-16,PAD_14795,
2025-09-01,Alexander Pröll,ÖVP,Mann,Staatssekretär im Bundeskanzleramt,-9,-4,PAD_32509,
2025-09-01,Alexander Van der Bellen,parteilos,Mann,Bundespräsident,19,-5,PAD_02856,
2025-09-01,Andreas Babler,SPÖ,Mann,Vizekanzler,-23,-4,PAD_23963,
2025-09-01,Anna Sporrer,SPÖ,Frau,Bundesministerin für Justiz,3,-3,PAD_32507,
2025-09-01,August Wöginger,ÖVP,Mann,Klubobmann,-31,-7,PAD_14795,
2025-09-01,Barbara Eibinger-Miedl,ÖVP,Frau,Staatssekretärin im Bundesministerium für Finanzen,-3,-4,PAD_35547,
2025-09-01,Beate Meinl-Reisinger,NEOS,Frau,Bundesministerin für europäische und internationale Angelegenheiten,-6,-10,PAD_83122,
2025-09-01,Christian Stocker,ÖVP,Mann,Bundeskanzler,0,-3,PAD_05439,
2025-09-01,Christoph Wiederkehr,NEOS,Mann,"Bundesminister für Bildung, Wissenschaft und Forschung",-3,-11,PAD_32505,
2025-09-01,Claudia Bauer (vormals Plakolm),ÖVP,Frau,"Bundesministerin für Europa, Integration und Familie im Bundeskanzleramt",-8,4,PAD_02295,
2025-09-01,Doris Bures,SPÖ,Frau,3. Nationalratspräsidentin ,18,-1,PAD_00145,
2025-09-01,Elisabeth Zehetner,ÖVP,Frau,"Staatssekretärin im Bundesministerium für Wirtschaft, Energie und Tourismus",-5,-4,PAD_32510,
2025-09-01,Eva Maria Holzleitner,SPÖ,Frau,"Bundesministerin für Frauen, Wissenschaft und Forschung",1,-4,PAD_02309,
2025-09-01,Gerhard Karner,ÖVP,Mann,Bundesminister für Inneres,-8,3,PAD_20445,
2025-09-01,Herbert Kickl,FPÖ,Mann,Klubobmann,-38,5,PAD_35520,
2025-09-01,Jörg Leichtfried,SPÖ,Mann,Staatssekretär im Bundesministerium für Inneres,-10,-6,PAD_22694,
